role,index,checkpoint,lora,model_weight,clip_weight,sampler,scheduler,steps,cfg,seed,width,height,output_prefix,positive,negative
管家,1,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_pilot20\01_House_Hasuki-pilot20-r32.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290101,1216,832,DragonMaid/Unity_RPG_CG_20260829/01_House_管家/01,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, standing beside a writing desk, calmly sorting a stack of household schedules, slight knowing smile, medium-wide event CG, doorway interruption framing, asymmetric composition, hasuki_dmaid, adult woman, mature composed head maid, long dark brown hair, glasses, black curved dragon horns, black formal maid uniform, white apron, complete attached dark dragon tail, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
管家,2,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_pilot20\01_House_Hasuki-pilot20-r32.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290102,1216,832,DragonMaid/Unity_RPG_CG_20260829/01_House_管家/02,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, adjusting her glasses while presenting a neatly written duty list toward the viewer, confident expression, medium shot, tabletop foreground framing, natural eye-line toward viewer, hasuki_dmaid, adult woman, mature composed head maid, long dark brown hair, glasses, black curved dragon horns, black formal maid uniform, white apron, complete attached dark dragon tail, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
管家,3,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_pilot20\01_House_Hasuki-pilot20-r32.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290103,1216,832,DragonMaid/Unity_RPG_CG_20260829/01_House_管家/03,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, catching a falling teacup with one hand, apron and hair moving with the sudden action, composed eyes, three-quarter shot, over-shoulder discovery angle, layered foreground objects, hasuki_dmaid, adult woman, mature composed head maid, long dark brown hair, glasses, black curved dragon horns, black formal maid uniform, white apron, complete attached dark dragon tail, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
管家,4,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_pilot20\01_House_Hasuki-pilot20-r32.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290104,1216,832,DragonMaid/Unity_RPG_CG_20260829/01_House_管家/04,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, leaning over a table to inspect a map, one hand pointing to a route, focused leadership expression, low-angle competence shot, controlled perspective, readable hands and costume, hasuki_dmaid, adult woman, mature composed head maid, long dark brown hair, glasses, black curved dragon horns, black formal maid uniform, white apron, complete attached dark dragon tail, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
管家,5,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_pilot20\01_House_Hasuki-pilot20-r32.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290105,1216,832,DragonMaid/Unity_RPG_CG_20260829/01_House_管家/05,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, pausing in a doorway with folded arms after noticing a small mess, restrained amused exasperation, medium-long shot, window-side hesitation, strong light and shadow separation, hasuki_dmaid, adult woman, mature composed head maid, long dark brown hair, glasses, black curved dragon horns, black formal maid uniform, white apron, complete attached dark dragon tail, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
管家,6,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_pilot20\01_House_Hasuki-pilot20-r32.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290106,1216,832,DragonMaid/Unity_RPG_CG_20260829/01_House_管家/06,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, kneeling to repair a loose drawer handle, practical concentration, tail balanced naturally behind her, dynamic three-quarter shot, motion crossing the frame, clear silhouette, hasuki_dmaid, adult woman, mature composed head maid, long dark brown hair, glasses, black curved dragon horns, black formal maid uniform, white apron, complete attached dark dragon tail, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
管家,7,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_pilot20\01_House_Hasuki-pilot20-r32.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290107,1216,832,DragonMaid/Unity_RPG_CG_20260829/01_House_管家/07,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, placing a warm cup beside a tired viewer, softened eyes and a discreet caring smile, seated compression composition, environmental props enclosing the frame, hasuki_dmaid, adult woman, mature composed head maid, long dark brown hair, glasses, black curved dragon horns, black formal maid uniform, white apron, complete attached dark dragon tail, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
管家,8,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_pilot20\01_House_Hasuki-pilot20-r32.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290108,1216,832,DragonMaid/Unity_RPG_CG_20260829/01_House_管家/08,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, turning back mid-step in a corridor, skirt and long hair following the motion, quietly attentive expression, intimate close-up aftermath, subtle off-screen interaction and expressive eyes, hasuki_dmaid, adult woman, mature composed head maid, long dark brown hair, glasses, black curved dragon horns, black formal maid uniform, white apron, complete attached dark dragon tail, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
管家,9,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_pilot20\01_House_Hasuki-pilot20-r32.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290109,1216,832,DragonMaid/Unity_RPG_CG_20260829/01_House_管家/09,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, holding an umbrella over the viewer at the mansion entrance, calm protective posture, gentle rain, wide establishing event CG, character integrated into a lived-in interior, hasuki_dmaid, adult woman, mature composed head maid, long dark brown hair, glasses, black curved dragon horns, black formal maid uniform, white apron, complete attached dark dragon tail, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
管家,10,sdxl\waiIllustriousSDXL_v150.safetensors,dragonmaid_pilot20\01_House_Hasuki-pilot20-r32.safetensors,0.78,0.72,dpmpp_2m_sde,karras,28,4.8,202608290110,1216,832,DragonMaid/Unity_RPG_CG_20260829/01_House_管家/10,"masterpiece, best quality, high quality anime illustration, polished visual novel event CG, single coherent scene, expressive body language, natural perspective, clean lineart, soft cinematic lighting, clear foreground middle ground and background, unified anime style, seated by a window after work, loosening one glove, rare relaxed smile and warm evening light, medium close-up, foreground occlusion, cinematic depth and restrained emotion, hasuki_dmaid, adult woman, mature composed head maid, long dark brown hair, glasses, black curved dragon horns, black formal maid uniform, white apron, complete attached dark dragon tail, coherent mansion interior, character visibly contacting nearby props, soft atmospheric depth","worst quality, low quality, normal quality, lowres, blurry, jpeg artifacts, text, watermark, logo, multiple views, collage, comic panels, duplicate person, extra person, cloned character, bad anatomy, bad hands, extra fingers, missing fingers, extra limbs, malformed limbs, long torso, floating tail, disconnected tail, missing tail, extra tail, missing horns, extra horns, wrong hair color, wrong costume, costume color error, inconsistent lighting, flat staging, pasted character, empty background, photorealistic, 3d render, card frame, trading card layout, nsfw, nude, lingerie"
